Nombre,Categoría,Declaración de seguridad,Clasificación 1,Clasificación 2,Clasificación 3,NombreNormalizado
oxcarbazepina,D,"Este fármaco y su metabolito activo (derivado 10-monohidroxi, MHD) atraviesan la placenta humana. La oxcarbazepina está (estructuralmente) estrechamente relacionada con la carbamazepina, que se considera teratogénica en humanos. Este fármaco es teratogénico en ratas. El riesgo de tener un hijo anormal como resultado de la medicación antiepiléptica es ampliamente superado por los peligros para la madre y el feto de la epilepsia no controlada. Se recomienda que: • las mujeres que toman fármacos antiepilépticos (FAE) reciban asesoramiento pregestacional con respecto al riesgo de anomalías fetales; • Los FAE deben continuarse durante el embarazo y la monoterapia debe usarse si es posible a la dosis efectiva más baja, ya que el riesgo de anomalía es mayor en mujeres que toman medicación combinada; • la suplementación con ácido fólico (5 mg) debe comenzar cuatro semanas antes y continuar durante doce semanas después de la concepción; • Se debe ofrecer un diagnóstico prenatal especializado que incluya una ecografía detallada a mediados del trimestre.",Sistema nervioso central,Anticonvulsivos/antiepilépticos,,oxcarbazepina
oxpentifilina (pentoxifilina),B1,,Sistema cardiovascular,,,oxpentifilina (pentoxifilina)
oxprenolol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Sistema cardiovascular,Agentes bloqueantes beta-adrenérgicos,,oxprenolol
oxibuprocaína,D,,Medicamentos oftálmicos,,,oxibuprocaina
oxibutinina,B1,,Sistema genitourinario,Trastornos de la función de la vejiga,,oxibutinina
oxicodona,do,Los analgésicos opioides pueden causar depresión respiratoria en recién nacidos. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de este tipo de fármacos.,Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes antiinflamatorios no esteroides),analgésicos opioides,oxicodona
oxicodona / naloxona,do,Los analgésicos opioides pueden causar depresión respiratoria en recién nacidos. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de este tipo de fármacos.,Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes no esteroides y antiinflamatorios),analgésicos opioides,oxicodona / naloxona
oximetolona,D,Los esteroides anabólicos y otras sustancias con efectos androgénicos pueden tener un efecto virilizante en el feto femenino y deben evitarse durante el embarazo.,Sistema endocrino,Andrógenos y esteroides anabólicos,,oximetolona
sulfato de oxiquinolina,A,,Medicamentos utilizados en Dermatología,"Antifúngicos tópicos, antisépticos (ver también agentes antifúngicos)",,sulfato de oxiquinolina
oxitetraciclina,D,"Las tetraciclinas son seguras para su uso durante las primeras 18 semanas de embarazo (16 semanas después de la concepción), después de lo cual provocan decoloración de los dientes del bebé.",Antimicrobianos,Antibióticos,Tetraciclinas,oxitetraciclina
oxitocina,A,Se han dado casos de sensibilidad idiosincrásica del útero que provocaron anoxia fetal.,Sistema genitourinario,Agentes que actúan sobre el útero,,oxitocina
ozanimod,D,"Este fármaco provoca malformaciones cardiovasculares y pérdidas postimplantación en ratas y conejos, lo que es coherente con su mecanismo de acción farmacológico.",Alergia y sistema inmunológico,,,ozanimod
paclitaxel,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Antimetabolitos,,paclitaxel
palbociclib,D,"Según los hallazgos en animales y el mecanismo de acción, palbociclib puede causar daño fetal cuando se administra a una mujer embarazada.",Agentes antineoplásicos,,,palbociclib
palifermina,B3,,Agentes antineoplásicos,Terapia de apoyo no citotóxica,,palifermina
paliperidona,do,"Los neonatos expuestos a antipsicóticos durante el tercer trimestre del embarazo corren el riesgo de experimentar trastornos neurológicos extrapiramidales o síntomas de abstinencia tras el parto. Se han notificado casos de agitación, hipertonía, hipotonía, temblor, somnolencia, dificultad respiratoria y trastornos de la alimentación en estos neonatos.",Sistema nervioso central,fármacos antipsicóticos,,paliperidona
palonosetrón,B1,,Sistema nervioso central,"Antieméticos, antinauseosos",,palonosetron
palovaroteno,incógnita,"El palovaroteno está contraindicado durante el embarazo debido a la posibilidad de defectos congénitos graves y potencialmente mortales. Se ha demostrado que el palovaroteno produce malformaciones fetales típicas de los retinoides (p. ej., paladar hendido, malformación del cráneo y acortamiento de los huesos largos) a niveles de exposición subclínicos en ratas.",Sistema musculoesquelético,,,palovaroteno
pamidronato,B3,,Sistema endocrino,Agentes que afectan el metabolismo del calcio y los huesos,Bifosfonatos,pamidronato
pancuronio,B2,,Medicamentos utilizados en anestesia,Agentes bloqueadores neuromusculares,,pancuronio
panitumumab,do,Se sabe que los anticuerpos IgG atraviesan la barrera placentaria. Este fármaco puede afectar la supervivencia embriofetal debido a su acción farmacológica.,Agentes antineoplásicos,anticuerpos monoclonales,,panitumumab
panobinostat,D,"Medicamentos que han causado, se sospecha que han causado o se espera que causen un aumento en la incidencia de malformaciones fetales o daños irreversibles en humanos. Estos medicamentos también pueden tener efectos farmacológicos adversos. Para más información, consulte los textos adjuntos.",Agentes antineoplásicos,,,panobinostat
pantoprazol,B3,,Sistema alimentario,"Hiperacidez, reflujo, úlceras",,pantoprazol
papavero,do,Los analgésicos opioides pueden causar depresión respiratoria en recién nacidos. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de este tipo de fármacos.,Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes antiinflamatorios no esteroides),analgésicos opioides,papavero
papaverina,B3,,Sistema cardiovascular,Vasodilatadores,,papaverina
papaverina,B3,,Agentes colinérgicos y anticolinérgicos,,,papaverina
paracetamol,A,,Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes antiinflamatorios no esteroides),,paracetamol
paracetamol/tramadol,do,Los analgésicos opioides pueden causar depresión respiratoria en recién nacidos. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de este tipo de fármacos.,Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes no esteroides y antiinflamatorios),,paracetamol/tramadol
paraldehído,D,Este fármaco se difunde fácilmente a través de la placenta y se sabe que causa depresión respiratoria en los neonatos.,Sistema nervioso central,Hipnóticos y sedantes,,paraldehido
parecoxib,do,"Los antiinflamatorios no esteroideos (AINE) inhiben la síntesis de prostaglandinas, lo que puede afectar negativamente al embarazo. Consulte los textos pertinentes en la información del producto de cada AINE para obtener información sobre su idoneidad para su uso durante el embarazo. Estudios epidemiológicos sugieren un mayor riesgo de aborto espontáneo tras el uso de inhibidores de la síntesis de prostaglandinas al inicio del embarazo. Su administración durante la última etapa del embarazo puede causar el cierre del conducto arterioso fetal, oligohidramnios, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con AINE durante el último trimestre del embarazo solo debe administrarse bajo indicación médica válida. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema musculoesquelético,Medicamentos antiinflamatorios no esteroides (AINE),,parecoxib
paricalcitol,do,,Sistema endocrino,Agentes que afectan el metabolismo del calcio y los huesos,,paricalcitol
paritaprevir/ritonavir/ombitasvir,B3,,Antimicrobianos,agentes antivirales,,paritaprevir/ritonavir/ombitasvir
paritaprevir/ritonavir/ombitasvir con ribavirina,incógnita,"Aunque no existen datos pertinentes en humanos, se ha demostrado que la ribavirina es teratogénica y/o embrioletal en casi todas las especies en las que se ha probado. Se observaron malformaciones en el cráneo, paladar, ojos, mandíbula, esqueleto y tracto gastrointestinal en estudios con animales. La supervivencia de fetos y crías se redujo.",Antimicrobianos,agentes antivirales,,paritaprevir/ritonavir/ombitasvir con ribavirina
paritaprevir/ritonavir/ombitasvir/dasabuvir,B3,,Antimicrobianos,agentes antivirales,,paritaprevir/ritonavir/ombitasvir/dasabuvir
 paritaprevir/ritonavir/ombitasvir/dasabuvir/ribavirina,incógnita,"Aunque no existen datos pertinentes en humanos, se ha demostrado que la ribavirina es teratogénica y/o embrioletal en casi todas las especies en las que se ha probado. Se observaron malformaciones en el cráneo, paladar, ojos, mandíbula, esqueleto y tracto gastrointestinal en estudios con animales. La supervivencia de fetos y crías se redujo.",Antimicrobianos,agentes antivirales,, paritaprevir/ritonavir/ombitasvir/dasabuvir/ribavirina
paroxetina,D,"Los inhibidores selectivos de la recaptación de serotonina (ISRS) se han utilizado de forma limitada durante el embarazo, sin que se haya reportado un aumento de defectos congénitos. El uso de ISRS en el tercer trimestre puede provocar un síndrome de abstinencia en el recién nacido.",Sistema nervioso central,antidepresivos,Inhibidores selectivos de la recaptación de serotonina (ISRS),paroxetina
diaspartato de pasireotida,B3,,Sistema endocrino,hormonas pituitarias,,diaspartato de pasireotida
embonato de pasireotida,B3,,Sistema endocrino,hormonas pituitarias,,embonato de pasireotida
patirómero (como sorbitex calcio),B1,,Sistema cardiovascular,,,patiromero (como sorbitex calcio)
patisirán,D, La administración de patisirán a conejas preñadas durante el período de organogénesis provocó mortalidad embriofetal y redujo el peso corporal fetal en dosis.,Sistema cardiovascular,,,patisiran
pazopanib,D,La angiogénesis desempeña un papel fundamental en el desarrollo embriofetal. Es teratogénica en animales gestantes. Los inhibidores del receptor VEGF inhiben la angiogénesis y pueden causar daño fetal cuando se administran a mujeres gestantes.,Agentes antineoplásicos,Inhibidores de la tirosina quinasa,,pazopanib
pegaspargasa,D,"La citotoxicidad de la actividad de la asparaginasa supone un riesgo de aborto espontáneo, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Antimetabolitos,,pegaspargasa
pegcetacoplan,B3,,Alergia y sistema inmunológico,,,pegcetacoplan
pegfilgrastim,B3,,Sangre y sistema hematopoyético,Agentes hematopoyéticos,,pegfilgrastim
peginterferón alfa-2a,B3,,Alergia y sistema inmunológico,Inmunomodificadores,,peginterferon alfa-2a
peginterferón alfa-2b,B3,,Alergia y sistema inmunológico,Inmunomodificadores,,peginterferon alfa-2b
peginterferón beta-1a (rch),D,"No se ha estudiado la toxicidad reproductiva del peginterferón beta-1a en hembras gestantes. El interferón beta-1a no pegilado no ha mostrado evidencia de teratogenicidad en hembras gestantes, pero sí presenta actividad abortiva en monos.",Alergia y sistema inmunológico,Inmunomodificadores,,peginterferon beta-1a (rch)
pegvaliasa,D," Estudios en animales han mostrado toxicidad reproductiva materna, que podría estar asociada con concentraciones sanguíneas de fenilalanina inferiores a los niveles normales. Se observó letalidad embriofetal, menor peso fetal y múltiples malformaciones o variaciones fetales al administrar dosis maternotóxicas a conejas preñadas. Los niveles de fenilalanina en sangre materna deben controlarse estrictamente durante la gestación.",Metabolismo,,,pegvaliasa
pegvisomante,B3,,Sistema endocrino,Inhibidores de la hipófisis,,pegvisomante
pembrolizumab,D,"PD-1/PD-L1 interviene en la tolerancia fetomaterna. Su administración durante el embarazo puede causar daño fetal, incluyendo aborto o muerte fetal.",Agentes antineoplásicos,anticuerpos monoclonales,,pembrolizumab
pemetrexed,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Antimetabolitos,,pemetrexed
pemigatinib,D,"Según su mecanismo de acción y datos de estudios en animales, el pemigatinib puede causar toxicidad reproductiva (pérdida postimplantación, malformaciones y reducción del peso fetal) cuando se administra durante el embarazo.",Agentes antineoplásicos,,,pemigatinib
penciclovir,B1,,Medicamentos utilizados en Dermatología,antiviral tópico,,penciclovir
penicilamina,D,La penicilamina puede causar cutis laxa en el feto humano.," Agentes desintoxicantes, antídotos",,,penicilamina
penicilamina,D,Este medicamento puede causar cutis laxa en el feto humano.,Sistema musculoesquelético,agentes antirreumatoides,,penicilamina
